Open Government,New Zealand Government Open Data,https://www.data.govt.nz/
Open Government,Taiwan Government Open Data,https://data.gov.tw/
Open Government,United States Government Open Data,https://www.data.gov/
Prague Opendata,Prague City Open Data,http://opendata.praha.eu/en
Quandl,Stock Market Data,https://www.quandl.com/
Represent by Open North,Find Canadian Government Representatives,https://represent.opennorth.ca/
Teleport,Quality of Life Data,https://developers.teleport.org/
Wikipedia,Mediawiki Encyclopedia,https://www.mediawiki.org/wiki/API:Main_page
Countly,Countly web analytics,http://resources.count.ly/docs
Drupal.org,Drupal.org,https://www.drupal.org/drupalorg/docs/api
USPTO,USA patent api services,https://www.uspto.gov/learning-and-resources/open-data-and-mobility
chucknorris.io,JSON API for hand curated Chuck Norris jokes,https://api.chucknorris.io
Forismatic,Inspirational Quotes,http://forismatic.com/en/api/
icanhazdadjoke,The largest selection of dad jokes on the internet,https://icanhazdadjoke.com/api
Quotes on Design,Inspirational Quotes,https://quotesondesign.com/api-v4-0/
Traitify,Assess  collect  and analyze Personality,https://app.traitify.com/developer
tronalddump.io,Api & web archive for the things Donald Trump has said,https://www.tronalddump.io
Pixhost,Upload images,https://pixhost.org/api/index.html
PlaceKitten,Resizable kitten placeholder images,https://placekitten.com/
ScreenShotLayer,URL 2 Image,https://screenshotlayer.com
arcsecond.io,Multiple astronomy data sources,https://api.arcsecond.io/
inspirehep.net,High Energy Physics info. system,https://inspirehep.net/info/hep/api?ln=en
Launch Library,Upcoming Space Launches,https://launchlibrary.net/1.2/docs/api.html
Minor Planet Center,Asterank.com Information,http://www.asterank.com/mpc
NASA,NASA data  including imagery,https://api.nasa.gov
Open Notify,ISS astronauts   current location,http://open-notify.org/Open-Notify-API/
SpaceX,Company  vehicle launchpad and launch data,https://github.com/r-spacex/SpaceX-API
Sunrise and Sunset,Sunset and sunrise times for a given latitude and longitude,https://sunrise-sunset.org/api
USGS Earthquake Hazards Program,Earthquakes data real-time,https://earthquake.usgs.gov/fdsnws/event/1/
USGS Water Services,Water quality and level info for rivers and lakes,https://waterservices.usgs.gov/
World Bank,World Data,https://datahelpdesk.worldbank.org/knowledgebase/topics/125589
AXFR Database,AXFR public database,http://api.axfrcheck.com
HaveIBeenPwned,Passwords which have previously been exposed in data breaches,https://haveibeenpwned.com/API/v2
UK Police,UK Police data,https://data.police.uk/docs/
DonReach Social Count,Get the social share count of a URL from every major social network,https://donreach.com/social-share-count/
Fuck Off as a Service,Asks someone to fuck off,https://www.foaas.com
HackerNews,Social news for CS and entrepreneurship,https://github.com/HackerNews/API
BikeWise,Bikewise is a place to learn about and report bike crashes  hazards  and thefts,https://www.bikewise.org/documentation/api_v2
Cartola FC,The Cartola FC API serves to check the partial points of your team,https://github.com/wgenial/cartrolandofc
City Bikes,City Bikes around the world,http://api.citybik.es/v2/
Ergast F1,F1 data from the beginning of the world championships in 1950,http://ergast.com/mrd/
Football-Data.org,Football Data,http://api.football-data.org/index
NBA Stats,Current and historical NBA Statistics,https://any-api.com/nba_com/nba_com/docs/API_Description
NFL Arrests,NFL Arrest Data,http://nflarrest.com/api/
Pro Motocross,The RESTful AMA Pro Motocross lap times for every racer on the start gate,http://promotocrossapi.com
SuredBits,Query sports data  including teams players games,https://suredbits.com/api/
UFC Data,Ultimate Fighting Championship information for events and fighters,http://ufc-data-api.ufc.com/
Adorable Avatars,Generate random cartoon avatars,http://avatars.adorable.io
Bacon Ipsum,A Meatier Lorem Ipsum Generator,https://baconipsum.com/json-api/
FHIR,Fast Healthcare Interoperability Resources test data,http://fhirtest.uhn.ca/home
Hipster Ipsum,Generates Hipster Ipsum text,http://hipsterjesus.com/
JSONPlaceholder,Fake data for testing and prototyping,http://jsonplaceholder.typicode.com/
Loripsum,"The ""lorem ipsum"" generator that doesn't suck",http://loripsum.net/
RandomUser,Generates random user data,https://randomuser.me
RoboHash,Generate random robot/alien avatars,https://robohash.org/
UI Names,Generate random fake names,https://github.com/thm/uinames
Yes No,Generate yes or no randomly,https://yesno.wtf/api
Postmon,An API to query Brazilian ZIP codes and orders easily  quickly and free,http://postmon.com.br
ADS-B Exchange,Access real-time and historical data of any and all airbone aircraft,https://www.adsbexchange.com/data/
Community Transit,Transitland API,https://github.com/transitland/transitland-datastore/blob/master/README.md#api-endpoints
Icelandic APIs,Open APIs that deliver services in or regarding Iceland,http://docs.apis.is/
REFUGE Restrooms,Provides safe restroom access for transgender  intersex and gender nonconforming individuals,https://www.refugerestrooms.org/api/docs/#!/restrooms
TransitLand,Transit Aggregation,https://transit.land/documentation/datastore/api-endpoints.html
